"sensorId","accX","accY","accZ","orientationX","orientationY","orientationZ","timeFine"
"D4:22:CD:00:0C:12","1.3425055742263794","-0.31334012746810913","13.412908554077148","-86.47861570764654","47.61822189651324","-52.41659363009895","4203802275"
"D4:22:CD:00:0C:12","1.9708000421524048","-1.3628076314926147","13.899864196777344","-86.02957400737611","48.58395019309711","-51.96005109320235","4203818942"
"D4:22:CD:00:0C:12","1.4792275428771973","-2.2684741020202637","12.343494415283203","-84.80949337274406","48.67074927877514","-50.86534628787036","4203852276"
"D4:22:CD:00:0C:12","0.3519577980041504","-1.3360438346862793","10.08839225769043","-84.82253644379045","46.21679698081884","-50.91720870912043","4203885610"
"D4:22:CD:00:0C:12","-0.7670454978942871","-1.49454665184021","6.558879852294922","-84.78606768363413","41.75532140334411","-50.77204727480958","4203918944"
"D4:22:CD:00:0C:12","-1.5612577199935913","-0.9591960310935974","3.6040477752685547","-84.1541577889383","35.85013812796545","-51.02681283220758","4203952278"
"D4:22:CD:00:0C:12","-1.8802213668823242","-0.15377937257289886","0.5395107269287109","-82.7092346816556","28.762802734411757","-50.99571638432692","4203985612"
"D4:22:CD:00:0C:12","-2.046746253967285","-0.06823872774839401","-2.7443947792053223","-80.77975792377808","20.751372159533396","-50.2578221998662","4204018946"
"D4:22:CD:00:0C:12","-1.8907264471054077","-0.8041887879371643","-4.846587657928467","-79.0779991516055","12.093088377378773","-49.254757530095176","4204052280"
"D4:22:CD:00:0C:12","-1.5491693019866943","-0.45136916637420654","-8.827877044677734","-77.45806962680382","2.9435779883679087","-48.27925472125818","4204085614"
"D4:22:CD:00:0C:12","-0.659770667552948","-0.7628074884414673","-12.025532722473145","-76.36399958792578","-6.383323388595033","-48.1074380049625","4204118948"
"D4:22:CD:00:0C:12","0.534744143486023","-0.5004273056983948","-14.298831939697266","-75.15146723050506","-16.32031609482348","-49.209054536085596","4204152282"
"D4:22:CD:00:0C:12","3.701183557510376","-1.685027003288269","-16.229129791259766","-72.51473594556734","-27.473455795678486","-52.045437877767085","4204185616"
"D4:22:CD:00:0C:12","8.917251586914062","-4.273550510406494","-18.082233428955078","-67.92281683939966","-39.533858500954736","-56.77379126748448","4204218950"
"D4:22:CD:00:0C:12","12.866781234741211","-7.383178234100342","-14.780801773071289","-60.02276583481357","-51.77293821988583","-64.58067040155689","4204252284"
"D4:22:CD:00:0C:12","15.865711212158203","-11.074212074279785","-7.60990047454834","-42.85734147815539","-63.17632419224854","-81.27164231618725","4204285618"
"D4:22:CD:00:0C:12","16.324352264404297","-13.39708137512207","0.23038291931152344","-10.915587458174917","-69.4233367854836","-113.91819364785177","4204318952"
"D4:22:CD:00:0C:12","13.087529182434082","-12.629134178161621","8.98066520690918","23.128286070594257","-68.34134368136759","-149.85292260668538","4204352286"
"D4:22:CD:00:0C:12","9.619893074035645","-14.208846092224121","14.992012023925781","40.36723165647212","-64.25835014122967","-169.09602561420743","4204385620"
"D4:22:CD:00:0C:12","7.468906402587891","-12.312406539916992","13.81466293334961","46.332225136809456","-62.1219256876985","-176.68333296804488","4204418954"
"D4:22:CD:00:0C:12","6.687129974365234","-11.996987342834473","11.684209823608398","49.47367232482261","-63.53986499007426","178.93293628217015","4204452288"
"D4:22:CD:00:0C:12","5.9053874015808105","-10.32693099975586","7.620609283447266","49.3235400657955","-67.73950446793924","177.93291760100237","4204485622"
"D4:22:CD:00:0C:12","7.487140655517578","-9.618507385253906","3.4327011108398438","43.08485687284418","-73.35150212546654","-175.9080570726647","4204518956"
"D4:22:CD:00:0C:12","9.260313987731934","-11.3414945602417","-0.1902475357055664","21.310347953410233","-78.59320773642335","-153.8255088144693","4204552290"
"D4:22:CD:00:0C:12","8.944879531860352","-10.326550483703613","-3.336791515350342","-19.124799556053336","-78.28036969364446","-113.53991040257849","4204585624"
"D4:22:CD:00:0C:12","8.741092681884766","-8.764311790466309","-5.890441417694092","-42.23088700115285","-72.52155371063421","-90.27744369260644","4204618958"
"D4:22:CD:00:0C:12","7.5993852615356445","-6.919895172119141","-6.4882917404174805","-53.79998296910877","-65.46426877671554","-78.62619317312067","4204652292"
"D4:22:CD:00:0C:12","6.922364234924316","-6.006719589233398","-8.34947395324707","-61.41025092179451","-57.27055291421951","-71.27264621273495","4204685626"
"D4:22:CD:00:0C:12","5.5687994956970215","-4.300576210021973","-10.606790542602539","-67.66240855898252","-47.51035800953733","-66.06127604920269","4204718960"
"D4:22:CD:00:0C:12","3.3861355781555176","-3.3866539001464844","-12.1043701171875","-73.06992412404728","-36.74535835361187","-62.61321130892243","4204752294"
"D4:22:CD:00:0C:12","-1.6883785724639893","0.26370713114738464","-11.540667533874512","-78.61267313901422","-25.26176279079627","-60.904674566017796","4204785628"
"D4:22:CD:00:0C:12","-6.044870853424072","6.066925525665283","-4.383731365203857","-82.26858411187969","-13.7323051912814","-57.44887232921272","4204818962"
"D4:22:CD:00:0C:12","-7.133162021636963","3.3088953495025635","-3.494511127471924","-81.74774958678394","-2.9220124484503276","-55.22461016289294","4204852296"
"D4:22:CD:00:0C:12","-10.19266128540039","11.154955863952637","1.0626964569091797","-82.51753452136207","5.859416344784503","-55.80998757737687","4204885630"
"D4:22:CD:00:0C:12","-10.34956169128418","10.806310653686523","6.282684326171875","-83.67175168575591","12.188282222673754","-54.62973809750492","4204918964"
"D4:22:CD:00:0C:12","-9.722968101501465","10.197516441345215","7.494218826293945","-83.76093905212721","15.88756145474519","-54.50839910631349","4204952298"
"D4:22:CD:00:0C:12","-8.579562187194824","10.708843231201172","7.832151412963867","-83.45730335411315","16.472422169518122","-54.39990403523552","4204985632"
"D4:22:CD:00:0C:12","-6.904249668121338","7.50405216217041","5.278652191162109","-82.74146436765851","14.403053583242025","-53.71681077243678","4205018966"
"D4:22:CD:00:0C:12","-5.761663436889648","6.185507774353027","2.927133560180664","-82.00481641049156","10.369902565961404","-53.657659121581815","4205052300"
"D4:22:CD:00:0C:12","-4.825859069824219","5.608962059020996","0.5126743316650391","-80.83537181705435","4.80294988785997","-53.37436502828062","4205085634"
"D4:22:CD:00:0C:12","-4.102951526641846","4.91939115524292","-2.1678786277770996","-79.42599999298957","-2.094269334953195","-52.26323364839082","4205118968"
"D4:22:CD:00:0C:12","-3.2910213470458984","4.146721363067627","-4.645120143890381","-78.24783972514217","-10.27421864328383","-50.68143774934455","4205152302"
"D4:22:CD:00:0C:12","-1.6506916284561157","2.431638240814209","-7.384097099304199","-77.66786946082024","-19.67475901497909","-49.41017400713841","4205185636"
"D4:22:CD:00:0C:12","-0.06441605091094971","0.8853621482849121","-9.807350158691406","-77.42694829580483","-29.658184157615754","-48.99454587019284","4205218970"
"D4:22:CD:00:0C:12","1.3658182621002197","-1.1871252059936523","-10.764838218688965","-77.58189778235828","-40.398118459731805","-48.57635494551255","4205252304"
"D4:22:CD:00:0C:12","2.9723269939422607","-3.1641175746917725","-10.528430938720703","-76.61315488083494","-51.821338929871594","-48.99058609369598","4205285638"
"D4:22:CD:00:0C:12","4.645778179168701","-3.9862377643585205","-9.630097389221191","-73.12576417774466","-63.55358001757102","-51.34202336267754","4205318972"
"D4:22:CD:00:0C:12","7.5239763259887695","-5.433436393737793","-5.936151504516602","-62.716366695759476","-76.03199585924743","-60.096474621171694","4205352306"
"D4:22:CD:00:0C:12","9.576088905334473","-6.648016452789307","-1.1024885177612305","1.7837577722284796","-85.20224757120185","-123.38220557257142","4205385640"
"D4:22:CD:00:0C:12","9.190805435180664","-6.631641864776611","4.502042770385742","69.31067452074342","-78.65189422217398","168.7980366903038","4205418974"
"D4:22:CD:00:0C:12","7.718087196350098","-4.880701541900635","5.346770286560059","76.77010671137411","-70.1059103030907","160.0074932166711","4205452308"
"D4:22:CD:00:0C:12","6.814027309417725","-6.663915157318115","9.966623306274414","78.19601445764941","-62.952129775223966","156.08692976671284","4205485642"
"D4:22:CD:00:0C:12","2.6556284427642822","-5.861926555633545","10.999549865722656","74.7662793450127","-56.93854912870032","155.4904010598738","4205518976"
"D4:22:CD:00:0C:12","1.6450798511505127","-4.932590007781982","12.454824447631836","72.26744344064392","-52.62360101091578","155.7784477059625","4205552310"
"D4:22:CD:00:0C:12","1.2990795373916626","-4.494543075561523","14.097085952758789","71.23979920886751","-52.272146857102","156.32002754393284","4205585644"
"D4:22:CD:00:0C:12","2.772244691848755","-3.975461721420288","13.864540100097656","69.94668012628455","-55.67818610180589","158.10822918907516","4205618978"
"D4:22:CD:00:0C:12","6.163622856140137","-4.515777111053467","10.900630950927734","68.07194235253131","-62.61323823254745","160.9579146036996","4205652312"
"D4:22:CD:00:0C:12","7.604046821594238","-7.307884693145752","8.109146118164062","61.02092512891667","-71.80348498709157","168.42827040745988","4205685646"
"D4:22:CD:00:0C:12","10.094791412353516","-9.635589599609375","4.399531364440918","31.522266278523325","-79.71764792174488","-163.03674285815674","4205718980"
"D4:22:CD:00:0C:12","10.299269676208496","-9.22724437713623","-2.917710781097412","-42.522573800137444","-79.87381177387267","-89.88905095243702","4205752314"
"D4:22:CD:00:0C:12","6.857813835144043","-8.497458457946777","-7.855757236480713","-76.8488697587414","-68.80113521643726","-54.87147135199606","4205785648"
"D4:22:CD:00:0C:12","4.568782329559326","-6.313272953033447","-11.53953742980957","-82.40427696410036","-55.69328267257523","-48.06184930939707","4205818982"
"D4:22:CD:00:0C:12","2.422081708908081","-3.3128550052642822","-14.202259063720703","-82.1119516707516","-43.42392165470108","-47.42081607864888","4205852316"
"D4:22:CD:00:0C:12","-0.568943202495575","-1.3303016424179077","-13.453277587890625","-82.15688793021276","-31.987046204027152","-47.461560525167684","4205885650"
"D4:22:CD:00:0C:12","-3.884974241256714","3.483771800994873","-9.140175819396973","-82.82993850829773","-22.302261033186543","-47.63085559047191","4205918984"
"D4:22:CD:00:0C:12","-4.999080657958984","5.673278331756592","-4.961431980133057","-82.75198638715011","-13.64041343387291","-48.12886204176113","4205952318"
"D4:22:CD:00:0C:12","-6.873669147491455","8.376410484313965","-0.3584718704223633","-82.88030375371564","-5.5846996553327335","-49.31507886599993","4205985652"
"D4:22:CD:00:0C:12","-8.789947509765625","11.09111499786377","4.262787818908691","-83.3561250817409","1.2159605699820628","-49.942133990502384","4206018986"
"D4:22:CD:00:0C:12","-9.749740600585938","11.825096130371094","6.336736679077148","-83.11749869203977","6.229022914461284","-49.66236924852373","4206052320"
