"sensorId","accX","accY","accZ","orientationX","orientationY","orientationZ","timeFine"
"D4:22:CD:00:0C:D2","-0.7891308069229126","1.1038750410079956","6.98234748840332","-62.15513432263871","8.60738886746217","-81.57922014325293","3785878168"
"D4:22:CD:00:0C:D2","0.234036386013031","1.9484741687774658","8.373479843139648","-62.891501509317415","8.12524290243632","-82.30239279379333","3785911502"
"D4:22:CD:00:0C:D2","0.8302621245384216","0.905424177646637","7.416534423828125","-62.88082013103638","6.770547003673147","-82.85817017625207","3785944836"
"D4:22:CD:00:0C:D2","1.4460933208465576","1.5503417253494263","6.33447265625","-62.97941048066079","4.475855712998173","-83.4663976718162","3785978170"
"D4:22:CD:00:0C:D2","1.4180225133895874","2.4051504135131836","3.904555320739746","-63.16696036012963","2.2706828480141708","-84.03007971991504","3786011504"
"D4:22:CD:00:0C:D2","2.0900306701660156","3.908018112182617","2.3305482864379883","-63.61853828735847","0.526797714779277","-83.97632639031899","3786044838"
"D4:22:CD:00:0C:D2","2.4390158653259277","3.123950958251953","-0.9779605865478516","-64.28504222580811","-0.37279947798148905","-84.11883429201542","3786078172"
"D4:22:CD:00:0C:D2","1.5695345401763916","1.465566635131836","-3.249087333679199","-65.4057086911249","0.04504680976435585","-85.33842858608669","3786111506"
"D4:22:CD:00:0C:D2","1.419610619544983","-0.6728362441062927","-5.377856254577637","-66.9185696709587","1.12389432338885","-86.30088267478475","3786144840"
"D4:22:CD:00:0C:D2","0.2700273394584656","-1.7390360832214355","-6.385702133178711","-68.3875927055814","3.0314157864833353","-88.35238951738337","3786178174"
"D4:22:CD:00:0C:D2","-0.9957851767539978","-1.8925514221191406","-6.662779808044434","-69.22926344238068","5.379627680806668","-89.85058890178648","3786211508"
"D4:22:CD:00:0C:D2","0.34500300884246826","-4.930866241455078","-7.1232476234436035","-69.13314284995997","7.4484857379541864","-90.5312011195242","3786244842"
"D4:22:CD:00:0C:D2","-0.9516414999961853","-5.223758220672607","-8.800914764404297","-69.06819205268872","9.34220187204981","-93.46285161317705","3786278176"
"D4:22:CD:00:0C:D2","-0.06304202228784561","-5.460473537445068","-5.496199131011963","-70.00537353933467","8.302879503460298","-95.98660047421168","3786311510"
"D4:22:CD:00:0C:D2","-1.125326156616211","-11.075990676879883","-5.655398845672607","-70.29446997485134","4.483590626445346","-96.65512584692634","3786344844"
"D4:22:CD:00:0C:D2","-2.2409348487854004","-13.421079635620117","-2.6678123474121094","-71.28961659375956","1.0361295754520794","-97.88285599837387","3786378178"
"D4:22:CD:00:0C:D2","-1.9443682432174683","-11.699613571166992","-1.481583595275879","-71.47843735156562","-1.4006800452351775","-98.60142751978924","3786411512"
